FIPS,FIPSTEXT,y12_M085_valuetext,y12_M085_classRange,Acres of Total Cropland as Percent of Land Area in Acres: 2012_valueNumeric,y12_M270_valueText,y12_M270_classRange,Acres of Cropland and Pastureland Treated with Animal Manure as Percent of Total Cropland Acreage_valueNumeric
1105,1105,8.57,14-May,8.57,8.46,14-May,8.46
1107,1107,4.36,Less than 5,4.36,19.97,15 - 29,19.97
1109,1109,8.19,14-May,8.19,37.4,30 - 59,37.4
1111,1111,3.89,Less than 5,3.89,106.4,60 or more,106.4
1113,1113,7.17,14-May,7.17,18.48,15 - 29,18.48
1115,1115,3.37,Less than 5,3.37,25.83,15 - 29,25.83
1117,1117,3.72,Less than 5,3.72,16.01,15 - 29,16.01
1119,1119,5.75,14-May,5.75,11.65,14-May,11.65
1121,1121,8.42,14-May,8.42,8.07,14-May,8.07
1123,1123,1.84,Less than 5,1.84,15.3,15 - 29,15.3
1125,1125,2.99,Less than 5,2.99,13.95,14-May,13.95
1127,1127,2.59,Less than 5,2.59,35.28,30 - 59,35.28
1129,1129,1.83,Less than 5,1.83,32.26,30 - 59,32.26
1131,1131,3.92,Less than 5,3.92,14.45,14-May,14.45
1133,1133,3.43,Less than 5,3.43,44.23,30 - 59,44.23
2010,2010,0,Less than 5,0,(D),Less than 5,
2020,2020,0.04,Less than 5,0.04,5.49,14-May,5.49
2090,2090,0.05,Less than 5,0.05,1.14,Less than 5,1.14
2110,2110,0,Less than 5,0,(D),Less than 5,
2122,2122,0.04,Less than 5,0.04,4.35,Less than 5,4.35
4001,4001,0.37,Less than 5,0.37,2.26,Less than 5,2.26
4003,4003,3.12,Less than 5,3.12,4.26,Less than 5,4.26
4005,4005,0.07,Less than 5,0.07,0.59,Less than 5,0.59
4007,4007,0.09,Less than 5,0.09,(D),14-May,
4009,4009,1.41,Less than 5,1.41,6.16,14-May,6.16
4011,4011,0.44,Less than 5,0.44,8.84,14-May,8.84
4012,4012,4.17,Less than 5,4.17,(D),Less than 5,
4013,4013,3.78,Less than 5,3.78,9.64,14-May,9.64
4015,4015,0.34,Less than 5,0.34,8.53,14-May,8.53
4017,4017,0.31,Less than 5,0.31,7.08,14-May,7.08
4019,4019,0.62,Less than 5,0.62,6.65,14-May,6.65
4021,4021,8.81,14-May,8.81,11.72,14-May,11.72
4023,4023,0.16,Less than 5,0.16,(D),Less than 5,
4025,4025,0.21,Less than 5,0.21,8.02,14-May,8.02
4027,4027,5.67,14-May,5.67,7.76,14-May,7.76
5001,5001,56.93,50 - 74,56.93,2.83,Less than 5,2.83
5003,5003,14.13,14-May,14.13,4.04,Less than 5,4.04
5005,5005,3.6,Less than 5,3.6,20.79,15 - 29,20.79
5007,5007,16.23,15 - 29,16.23,34.75,30 - 59,34.75
5009,5009,10.26,14-May,10.26,84.94,60 or more,84.94
5011,5011,1.32,Less than 5,1.32,6.19,14-May,6.19
5013,5013,0.84,Less than 5,0.84,11.83,14-May,11.83
5015,5015,11.94,14-May,11.94,77.35,60 or more,77.35
5017,5017,61.82,50 - 74,61.82,0.07,Less than 5,0.07
5019,5019,4.78,Less than 5,4.78,10.55,14-May,10.55
5021,5021,72.81,50 - 74,72.81,0.5,Less than 5,0.5
5023,5023,10.45,14-May,10.45,22.88,15 - 29,22.88
5025,5025,1.58,Less than 5,1.58,53.91,30 - 59,53.91
5027,5027,2.56,Less than 5,2.56,39.63,30 - 59,39.63
5029,5029,21.61,15 - 29,21.61,28.91,15 - 29,28.91
5031,5031,69.43,50 - 74,69.43,0.09,Less than 5,0.09
5033,5033,12.8,14-May,12.8,13.35,14-May,13.35
5035,5035,78.54,75 or more,78.54,0.13,Less than 5,0.13
5037,5037,64.7,50 - 74,64.7,2.45,Less than 5,2.45
5039,5039,0.75,Less than 5,0.75,8.04,14-May,8.04
5041,5041,49.62,30 - 49,49.62,3.93,Less than 5,3.93
5043,5043,16.37,15 - 29,16.37,8.29,14-May,8.29
5045,5045,13.15,14-May,13.15,10.05,14-May,10.05
5047,5047,11.49,14-May,11.49,42.36,30 - 59,42.36
5049,5049,6.55,14-May,6.55,11.5,14-May,11.5
5051,5051,1.94,Less than 5,1.94,17.08,15 - 29,17.08
5053,5053,2.55,Less than 5,2.55,36.55,30 - 59,36.55
5055,5055,58.58,50 - 74,58.58,1.95,Less than 5,1.95
5057,5057,10.51,14-May,10.51,45.43,30 - 59,45.43
5059,5059,4.89,Less than 5,4.89,16.99,15 - 29,16.99
5061,5061,6.15,14-May,6.15,80.68,60 or more,80.68
5063,5063,17.84,15 - 29,17.84,22.61,15 - 29,22.61
5065,5065,7.62,14-May,7.62,32.81,30 - 59,32.81
5067,5067,66.98,50 - 74,66.98,3.97,Less than 5,3.97
5069,5069,46.21,30 - 49,46.21,1.74,Less than 5,1.74
5071,5071,9.17,14-May,9.17,38.81,30 - 59,38.81
5073,5073,17.98,15 - 29,17.98,15.14,15 - 29,15.14
5075,5075,47.65,30 - 49,47.65,2.8,Less than 5,2.8
5077,5077,63.76,50 - 74,63.76,0.5,Less than 5,0.5
5079,5079,43.81,30 - 49,43.81,10.3,14-May,10.3
5081,5081,17.58,15 - 29,17.58,11.66,14-May,11.66
5083,5083,14.74,14-May,14.74,46.68,30 - 59,46.68
5085,5085,55.65,50 - 74,55.65,4.49,Less than 5,4.49
5087,5087,10.78,14-May,10.78,74.24,60 or more,74.24
5089,5089,5.04,14-May,5.04,34.61,30 - 59,34.61
5091,5091,21.31,15 - 29,21.31,7.41,14-May,7.41
5093,5093,80.27,75 or more,80.27,0.05,Less than 5,0.05
5095,5095,64.04,50 - 74,64.04,1.27,Less than 5,1.27
5097,5097,4.16,Less than 5,4.16,32.47,30 - 59,32.47
5099,5099,4.08,Less than 5,4.08,33.41,30 - 59,33.41
5101,5101,3.28,Less than 5,3.28,63.63,60 or more,63.63
5103,5103,1.48,Less than 5,1.48,11.9,14-May,11.9
5105,5105,7.21,14-May,7.21,31.74,30 - 59,31.74
5107,5107,77.63,75 or more,77.63,0.56,Less than 5,0.56
5109,5109,3.88,Less than 5,3.88,66.33,60 or more,66.33
5111,5111,76.18,75 or more,76.18,0.4,Less than 5,0.4
5113,5113,5.82,14-May,5.82,49.35,30 - 59,49.35
5115,5115,9.86,14-May,9.86,26.17,15 - 29,26.17
5117,5117,51.63,50 - 74,51.63,3.65,Less than 5,3.65
5119,5119,9.85,14-May,9.85,7.63,14-May,7.63
5121,5121,21.53,15 - 29,21.53,12.64,14-May,12.64
5123,5123,67.28,50 - 74,67.28,0.72,Less than 5,0.72
5125,5125,2.62,Less than 5,2.62,14.22,14-May,14.22
5127,5127,5.27,14-May,5.27,26.57,15 - 29,26.57
5129,5129,5.86,14-May,5.86,12.18,14-May,12.18
5131,5131,10.29,14-May,10.29,32.7,30 - 59,32.7
5133,5133,7.57,14-May,7.57,64.26,60 or more,64.26
5135,5135,7.44,14-May,7.44,15.51,15 - 29,15.51
5137,5137,5.68,14-May,5.68,35.46,30 - 59,35.46
5139,5139,1.17,Less than 5,1.17,14.74,14-May,14.74
5141,5141,6.51,14-May,6.51,16.55,15 - 29,16.55
5143,5143,13.85,14-May,13.85,43.77,30 - 59,43.77
5145,5145,20.88,15 - 29,20.88,14.49,14-May,14.49
5147,5147,65.49,50 - 74,65.49,7.84,14-May,7.84
5149,5149,9.49,14-May,9.49,39.09,30 - 59,39.09
6001,6001,4.3,Less than 5,4.3,4.37,Less than 5,4.37
6003,6003,0.12,Less than 5,0.12,0,Less than 5,0
6005,6005,4.21,Less than 5,4.21,5.7,14-May,5.7
6007,6007,21.7,15 - 29,21.7,1.08,Less than 5,1.08
6009,6009,0.93,Less than 5,0.93,2.33,Less than 5,2.33
6011,6011,38.79,30 - 49,38.79,1.85,Less than 5,1.85
6013,6013,10.14,14-May,10.14,0.69,Less than 5,0.69
6015,6015,1.34,Less than 5,1.34,20.25,15 - 29,20.25
6017,6017,1.02,Less than 5,1.02,13.23,14-May,13.23
6019,6019,30.24,30 - 49,30.24,6.17,14-May,6.17
6021,6021,32.62,30 - 49,32.62,2.51,Less than 5,2.51
6023,6023,0.92,Less than 5,0.92,18.94,15 - 29,18.94
6025,6025,18.25,15 - 29,18.25,4.41,Less than 5,4.41
6027,6027,0.29,Less than 5,0.29,(D),Less than 5,
6029,6029,17.28,15 - 29,17.28,5.76,14-May,5.76
6031,6031,56.4,50 - 74,56.4,7.2,14-May,7.2
6033,6033,3.62,Less than 5,3.62,2.88,Less than 5,2.88
6035,6035,2.44,Less than 5,2.44,4.95,Less than 5,4.95
6037,6037,2.29,Less than 5,2.29,5.83,14-May,5.83
6039,6039,22.24,15 - 29,22.24,10.02,14-May,10.02
6041,6041,4.33,Less than 5,4.33,65.59,60 or more,65.59
6043,6043,1.36,Less than 5,1.36,1.95,Less than 5,1.95
6045,6045,2.2,Less than 5,2.2,2.04,Less than 5,2.04
6047,6047,42.2,30 - 49,42.2,23.57,15 - 29,23.57
6049,6049,6.17,14-May,6.17,4.27,Less than 5,4.27
6051,6051,0.58,Less than 5,0.58,4.31,Less than 5,4.31
6053,6053,17.06,15 - 29,17.06,3.43,Less than 5,3.43
6055,6055,13.16,14-May,13.16,9.32,14-May,9.32
6057,6057,0.55,Less than 5,0.55,16.63,15 - 29,16.63
6059,6059,3,Less than 5,3,0.67,Less than 5,0.67
6061,6061,3.73,Less than 5,3.73,5.73,14-May,5.73
6063,6063,1.59,Less than 5,1.59,1.52,Less than 5,1.52
6065,6065,4.93,Less than 5,4.93,9.34,14-May,9.34
6067,6067,17.12,15 - 29,17.12,4.17,Less than 5,4.17
6069,6069,4.34,Less than 5,4.34,2.23,Less than 5,2.23
6071,6071,0.23,Less than 5,0.23,22.69,15 - 29,22.69
6073,6073,2.53,Less than 5,2.53,5.25,14-May,5.25
6075,6075,0.03,Less than 5,0.03,0,Less than 5,0
6077,6077,58.16,50 - 74,58.16,4.17,Less than 5,4.17
6079,6079,12.1,14-May,12.1,2.64,Less than 5,2.64
6081,6081,2.95,Less than 5,2.95,2.56,Less than 5,2.56
6083,6083,7.56,14-May,7.56,2.02,Less than 5,2.02
6085,6085,4.64,Less than 5,4.64,1.04,Less than 5,1.04
6087,6087,14.42,14-May,14.42,3.35,Less than 5,3.35
6089,6089,1.53,Less than 5,1.53,4.62,Less than 5,4.62
6091,6091,0.66,Less than 5,0.66,(D),Less than 5,
6093,6093,4.85,Less than 5,4.85,5.55,14-May,5.55
6095,6095,32.25,30 - 49,32.25,4.33,Less than 5,4.33
6097,6097,12.95,14-May,12.95,16.12,15 - 29,16.12
6099,6099,35.64,30 - 49,35.64,15.75,15 - 29,15.75
6101,6101,71.55,50 - 74,71.55,2.41,Less than 5,2.41
6103,6103,4.73,Less than 5,4.73,4.77,Less than 5,4.77
6105,6105,0.1,Less than 5,0.1,7.44,14-May,7.44
6107,6107,21.94,15 - 29,21.94,17.64,15 - 29,17.64
6109,6109,0.2,Less than 5,0.2,32.78,30 - 59,32.78
6111,6111,8.57,14-May,8.57,4.54,Less than 5,4.54
6113,6113,47.26,30 - 49,47.26,1.32,Less than 5,1.32
6115,6115,22.19,15 - 29,22.19,2.62,Less than 5,2.62
8001,8001,73.64,50 - 74,73.64,1.32,Less than 5,1.32
8003,8003,15.45,15 - 29,15.45,3.31,Less than 5,3.31
8005,8005,26.86,15 - 29,26.86,0.6,Less than 5,0.6
8007,8007,1.53,Less than 5,1.53,11.51,14-May,11.51
8009,8009,53.36,50 - 74,53.36,0.22,Less than 5,0.22
8011,8011,11.06,14-May,11.06,1.38,Less than 5,1.38
8013,8013,8.44,14-May,8.44,9.21,14-May,9.21
8014,8014,52.37,50 - 74,52.37,0,Less than 5,0
8015,8015,2.45,Less than 5,2.45,6.4,14-May,6.4
8017,8017,47.15,30 - 49,47.15,0.68,Less than 5,0.68
8019,8019,0.12,Less than 5,0.12,0,Less than 5,0
8021,8021,13.67,14-May,13.67,4.67,Less than 5,4.67
8023,8023,6.35,14-May,6.35,2.97,Less than 5,2.97
8025,8025,8.99,14-May,8.99,1.63,Less than 5,1.63
8027,8027,4.3,Less than 5,4.3,19.59,15 - 29,19.59
8029,8029,8.31,14-May,8.31,6.33,14-May,6.33
8031,8031,0.04,Less than 5,0.04,0,Less than 5,0
8033,8033,10.7,14-May,10.7,(D),Less than 5,
8035,8035,4.33,Less than 5,4.33,17.38,15 - 29,17.38
8037,8037,1.38,Less than 5,1.38,4.01,Less than 5,4.01
8039,8039,15.24,15 - 29,15.24,3.14,Less than 5,3.14
8041,8041,3.94,Less than 5,3.94,4.75,Less than 5,4.75
8043,8043,1.8,Less than 5,1.8,11.84,14-May,11.84
8045,8045,2.45,Less than 5,2.45,5.69,14-May,5.69
8047,8047,0.41,Less than 5,0.41,(D),14-May,
8049,8049,2.95,Less than 5,2.95,12,14-May,12
8051,8051,2.01,Less than 5,2.01,31.25,30 - 59,31.25
8053,8053,0.16,Less than 5,0.16,0,Less than 5,0
8055,8055,2.46,Less than 5,2.46,2.04,Less than 5,2.04
8057,8057,6.35,14-May,6.35,(D),Less than 5,
8059,8059,2.07,Less than 5,2.07,7.26,14-May,7.26
8061,8061,63.05,50 - 74,63.05,0.39,Less than 5,0.39
8063,8063,63.08,50 - 74,63.08,1.54,Less than 5,1.54
8065,8065,0.33,Less than 5,0.33,0,Less than 5,0
8067,8067,7.93,14-May,7.93,6.15,14-May,6.15
8069,8069,6.4,14-May,6.4,10.82,14-May,10.82
8071,8071,2.33,Less than 5,2.33,0.9,Less than 5,0.9
8073,8073,35.25,30 - 49,35.25,0.07,Less than 5,0.07
8075,8075,43.85,30 - 49,43.85,5.3,14-May,5.3
8077,8077,3.35,Less than 5,3.35,7.79,14-May,7.79
8079,8079,0.1,Less than 5,0.1,0,Less than 5,0
8081,8081,3.94,Less than 5,3.94,5,14-May,5
8083,8083,7.5,14-May,7.5,7.32,14-May,7.32
8085,8085,4.88,Less than 5,4.88,5.88,14-May,5.88
8087,8087,37.05,30 - 49,37.05,4.75,Less than 5,4.75
8089,8089,9.2,14-May,9.2,8.01,14-May,8.01
8091,8091,2.9,Less than 5,2.9,6.84,14-May,6.84
8093,8093,0.72,Less than 5,0.72,10.4,14-May,10.4
8095,8095,84.22,75 or more,84.22,0.79,Less than 5,0.79
8097,8097,0.77,Less than 5,0.77,7.15,14-May,7.15
8099,8099,45.82,30 - 49,45.82,0.88,Less than 5,0.88
8101,8101,5.8,14-May,5.8,4.16,Less than 5,4.16
8103,8103,2.07,Less than 5,2.07,5.2,14-May,5.2
8105,8105,18.06,15 - 29,18.06,3.13,Less than 5,3.13
8107,8107,7.76,14-May,7.76,3.52,Less than 5,3.52
8109,8109,5.69,14-May,5.69,10.97,14-May,10.97
8111,8111,0,Less than 5,0,0,Less than 5,0
8113,8113,1.77,Less than 5,1.77,2.11,Less than 5,2.11
8115,8115,59.06,50 - 74,59.06,2.71,Less than 5,2.71
8117,8117,1.49,Less than 5,1.49,8.39,14-May,8.39
8119,8119,0.94,Less than 5,0.94,1.22,Less than 5,1.22
8121,8121,43.42,30 - 49,43.42,2.83,Less than 5,2.83
8123,8123,33.32,30 - 49,33.32,9.28,14-May,9.28
8125,8125,40.12,30 - 49,40.12,3.73,Less than 5,3.73
9001,9001,1.24,Less than 5,1.24,6.85,14-May,6.85
9003,9003,5.46,14-May,5.46,5.37,14-May,5.37
9005,9005,6.32,14-May,6.32,14.69,14-May,14.69
9007,9007,3.27,Less than 5,3.27,10.39,14-May,10.39
9009,9009,3.64,Less than 5,3.64,10.05,14-May,10.05
9011,9011,5.36,14-May,5.36,24.57,15 - 29,24.57
9013,9013,7.06,14-May,7.06,30.96,30 - 59,30.96
9015,9015,6.12,14-May,6.12,31.54,30 - 59,31.54
10001,10001,39.28,30 - 49,39.28,10.18,14-May,10.18
10003,10003,20.55,15 - 29,20.55,3.83,Less than 5,3.83
10005,10005,39.34,30 - 49,39.34,21.36,15 - 29,21.36
12001,12001,10.49,14-May,10.49,8.1,14-May,8.1
12003,12003,1.18,Less than 5,1.18,7.77,14-May,7.77
12005,12005,0.55,Less than 5,0.55,4.43,Less than 5,4.43
12007,12007,4.87,Less than 5,4.87,15.65,15 - 29,15.65
12009,12009,2.97,Less than 5,2.97,(D),15 - 29,
12011,12011,0.55,Less than 5,0.55,2.28,Less than 5,2.28
12013,12013,5.21,14-May,5.21,2.17,Less than 5,2.17
12015,12015,4.24,Less than 5,4.24,8.27,14-May,8.27
12017,12017,1.95,Less than 5,1.95,33.3,30 - 59,33.3
12019,12019,1.35,Less than 5,1.35,36.14,30 - 59,36.14
12021,12021,5.23,14-May,5.23,0.33,Less than 5,0.33
12023,12023,6.53,14-May,6.53,2.61,Less than 5,2.61
12027,12027,15.3,15 - 29,15.3,2.01,Less than 5,2.01
12029,12029,2.35,Less than 5,2.35,6.51,14-May,6.51
12031,12031,1.14,Less than 5,1.14,4.45,Less than 5,4.45
12033,12033,9.55,14-May,9.55,7.95,14-May,7.95
12035,12035,1.76,Less than 5,1.76,1.14,Less than 5,1.14
12037,12037,0.23,Less than 5,0.23,0,Less than 5,0
12039,12039,3.95,Less than 5,3.95,7.46,14-May,7.46
12041,12041,19.55,15 - 29,19.55,10.82,14-May,10.82
12043,12043,10.95,14-May,10.95,3.6,Less than 5,3.6
12045,12045,0.15,Less than 5,0.15,(D),Less than 5,
12047,12047,8.62,14-May,8.62,1.25,Less than 5,1.25
12049,12049,12.68,14-May,12.68,5.32,14-May,5.32
12051,12051,35.57,30 - 49,35.57,0.69,Less than 5,0.69
12053,12053,5.11,14-May,5.11,27.99,15 - 29,27.99
12055,12055,12.91,14-May,12.91,4.41,Less than 5,4.41
12057,12057,11.6,14-May,11.6,3.01,Less than 5,3.01
12059,12059,11.23,14-May,11.23,14.12,14-May,14.12
12061,12061,17.02,15 - 29,17.02,0.64,Less than 5,0.64
12063,12063,20.02,15 - 29,20.02,3.72,Less than 5,3.72
12065,12065,6.43,14-May,6.43,2.64,Less than 5,2.64
12067,12067,6.42,14-May,6.42,22.81,15 - 29,22.81
12069,12069,5.99,14-May,5.99,10.55,14-May,10.55
12071,12071,4.55,Less than 5,4.55,4.81,Less than 5,4.81
12073,12073,1.54,Less than 5,1.54,22.43,15 - 29,22.43
12075,12075,8.36,14-May,8.36,4,Less than 5,4
12077,12077,0.22,Less than 5,0.22,10.95,14-May,10.95
12079,12079,8.64,14-May,8.64,12.16,14-May,12.16
12081,12081,14.8,14-May,14.8,1.55,Less than 5,1.55
12083,12083,6.86,14-May,6.86,13.34,14-May,13.34
12085,12085,12.6,14-May,12.6,1.07,Less than 5,1.07
12086,12086,5.34,14-May,5.34,1.82,Less than 5,1.82
12087,12087,0.02,Less than 5,0.02,(D),15 - 29,
12089,12089,1.17,Less than 5,1.17,12.9,14-May,12.9
12091,12091,3.13,Less than 5,3.13,4.79,Less than 5,4.79
12093,12093,10.59,14-May,10.59,12.3,14-May,12.3
12095,12095,2.38,Less than 5,2.38,3.07,Less than 5,3.07
12097,12097,3.5,Less than 5,3.5,(D),14-May,
12099,12099,34.97,30 - 49,34.97,0.22,Less than 5,0.22
12101,12101,5.17,14-May,5.17,13.79,14-May,13.79
12103,12103,0.33,Less than 5,0.33,3.12,Less than 5,3.12
12105,12105,10.87,14-May,10.87,3.87,Less than 5,3.87
12107,12107,2.22,Less than 5,2.22,4.71,Less than 5,4.71
12109,12109,4.81,Less than 5,4.81,0.81,Less than 5,0.81
12111,12111,18.18,15 - 29,18.18,1.27,Less than 5,1.27
12113,12113,10.75,14-May,10.75,1.35,Less than 5,1.35
12115,12115,1.31,Less than 5,1.31,(D),Less than 5,
12117,12117,1.22,Less than 5,1.22,5.99,14-May,5.99
12119,12119,5.92,14-May,5.92,7.83,14-May,7.83
12121,12121,19.08,15 - 29,19.08,19.76,15 - 29,19.76
12123,12123,0.34,Less than 5,0.34,54.36,30 - 59,54.36
12125,12125,4.67,Less than 5,4.67,17.17,15 - 29,17.17
12127,12127,3.32,Less than 5,3.32,5.66,14-May,5.66
12129,12129,0.51,Less than 5,0.51,9.06,14-May,9.06
12131,12131,4.62,Less than 5,4.62,9.91,14-May,9.91
12133,12133,4.93,Less than 5,4.93,3.8,Less than 5,3.8
13001,13001,22.75,15 - 29,22.75,5.99,14-May,5.99
13003,13003,16.17,15 - 29,16.17,6.56,14-May,6.56
13005,13005,18.31,15 - 29,18.31,19.93,15 - 29,19.93
13007,13007,27.68,15 - 29,27.68,5.17,14-May,5.17
13009,13009,2.69,Less than 5,2.69,11.54,14-May,11.54
13011,13011,9.64,14-May,9.64,119.46,60 or more,119.46
13013,13013,6.37,14-May,6.37,56.01,30 - 59,56.01
13015,13015,8.7,14-May,8.7,23.02,15 - 29,23.02
13017,13017,16.53,15 - 29,16.53,1.68,Less than 5,1.68
13019,13019,26.4,15 - 29,26.4,4.25,Less than 5,4.25
13021,13021,3.85,Less than 5,3.85,38.59,30 - 59,38.59
13023,13023,24.1,15 - 29,24.1,3.01,Less than 5,3.01
13025,13025,2.63,Less than 5,2.63,3.67,Less than 5,3.67
13027,13027,24.41,15 - 29,24.41,2.34,Less than 5,2.34
13029,13029,1.58,Less than 5,1.58,6.22,14-May,6.22
13031,13031,25.29,15 - 29,25.29,10.21,14-May,10.21
13033,13033,16.76,15 - 29,16.76,17.41,15 - 29,17.41
13035,13035,4.11,Less than 5,4.11,15.45,15 - 29,15.45
13037,13037,34.22,30 - 49,34.22,22.5,15 - 29,22.5
13039,13039,0.26,Less than 5,0.26,(D),Less than 5,
13043,13043,15.04,15 - 29,15.04,8.5,14-May,8.5
13045,13045,6.06,14-May,6.06,71.61,60 or more,71.61
13047,13047,6.99,14-May,6.99,35.99,30 - 59,35.99
13049,13049,0.31,Less than 5,0.31,20.78,15 - 29,20.78
13051,13051,0.55,Less than 5,0.55,0,Less than 5,0
13053,13053,0.18,Less than 5,0.18,0,Less than 5,0
13055,13055,6.46,14-May,6.46,32.87,30 - 59,32.87
13057,13057,1.86,Less than 5,1.86,67.14,60 or more,67.14
13059,13059,2.73,Less than 5,2.73,13.3,14-May,13.3
13061,13061,14.98,14-May,14.98,2.46,Less than 5,2.46
13063,13063,0.25,Less than 5,0.25,18.75,15 - 29,18.75
13065,13065,1.05,Less than 5,1.05,0.28,Less than 5,0.28
13067,13067,0.66,Less than 5,0.66,6.03,14-May,6.03
13069,13069,23.63,15 - 29,23.63,17.64,15 - 29,17.64
13071,13071,30.62,30 - 49,30.62,7.69,14-May,7.69
13073,13073,1.06,Less than 5,1.06,18.89,15 - 29,18.89
13075,13075,30.39,30 - 49,30.39,11.7,14-May,11.7
13077,13077,4.04,Less than 5,4.04,7.87,14-May,7.87
13079,13079,6.71,14-May,6.71,15.77,15 - 29,15.77
13081,13081,46.94,30 - 49,46.94,3.83,Less than 5,3.83
13083,13083,6.42,14-May,6.42,22.18,15 - 29,22.18
13085,13085,1.67,Less than 5,1.67,80.62,60 or more,80.62
13087,13087,32.34,30 - 49,32.34,3.97,Less than 5,3.97
13089,13089,0.18,Less than 5,0.18,0.96,Less than 5,0.96
13091,13091,8.73,14-May,8.73,9.63,14-May,9.63
13093,13093,34.54,30 - 49,34.54,8.71,14-May,8.71
13095,13095,9.38,14-May,9.38,(D),14-May,
13097,13097,1.7,Less than 5,1.7,0.92,Less than 5,0.92
13099,13099,28.58,15 - 29,28.58,11.08,14-May,11.08
13101,13101,1.81,Less than 5,1.81,6.26,14-May,6.26
13103,13103,5.68,14-May,5.68,4.16,Less than 5,4.16
13105,13105,6.07,14-May,6.07,72.89,60 or more,72.89
13107,13107,14.94,14-May,14.94,6.16,14-May,6.16
13109,13109,12.53,14-May,12.53,9.11,14-May,9.11
13111,13111,1.47,Less than 5,1.47,28.95,15 - 29,28.95
13113,13113,2.2,Less than 5,2.2,4.13,Less than 5,4.13
13115,13115,5.99,14-May,5.99,37.41,30 - 59,37.41
13117,13117,2.29,Less than 5,2.29,60.37,60 or more,60.37
13119,13119,11.79,14-May,11.79,104.75,60 or more,104.75
13121,13121,0.89,Less than 5,0.89,16.1,15 - 29,16.1
13123,13123,1.95,Less than 5,1.95,68.1,60 or more,68.1
13125,13125,6.91,14-May,6.91,16.4,15 - 29,16.4
